Title,Link,Date & Time,Location
"I Missed Out on AI and NVIDIA, What’s Next?",https://www.eventbrite.com/e/i-missed-out-on-ai-and-nvidia-whats-next-tickets-1510837408359?aff=ebdssbdestsearch,Going fast,Online
AI & Teens: The Conversation You Can't Afford to Skip,https://www.eventbrite.com/e/ai-teens-the-conversation-you-cant-afford-to-skip-tickets-1766711966049?aff=ebdssbdestsearch,"Fri, Nov 7, 9:00 AM PST",Online
DM To Dollars 3-Day Challenge,https://www.eventbrite.com/e/dm-to-dollars-3-day-challenge-tickets-1849452404929?aff=ebdssbdestsearch,"Tue, Oct 28, 12:00 PM EDT",Online
Berlin Deep Tech Nexus Meetup #7 - TU Berlin - Science & Startups,https://www.eventbrite.com/e/berlin-deep-tech-nexus-meetup-7-tu-berlin-science-startups-tickets-1670573122179?aff=ebdssbdestsearch,Sales end soon,"Berlin · TU Berlin, EINS - Innovationsplattform und Coworkingspace"
Berlin Tech Mixer and Social (Tech / AI / Data) ✨ Berlin Connect,https://www.eventbrite.com.au/e/berlin-tech-mixer-and-social-tech-ai-data-berlin-connect-tickets-1375964439679?aff=ebdssbdestsearch,Sales end soon,Berlin · Anna Koschke
Circular Tech Awards 2026,https://www.eventbrite.de/e/circular-tech-awards-2026-tickets-1720505270579?aff=ebdssbdestsearch,"Sat, Sep 5, 7:30 PM",Berlin · JW Marriott Hotel Berlin
Berlin Deep Tech Nexus Meetup #8 - CODE University of Applied Sciences,https://www.eventbrite.com/e/berlin-deep-tech-nexus-meetup-8-code-university-of-applied-sciences-tickets-1670612158939?aff=ebdssbdestsearch,"Thu, Nov 27, 5:00 PM",Berlin · CODE University of Applied Sciences
"The Black Girls Tech Summit 2025: The Shift -Power, Progress & Possibility",https://www.eventbrite.co.uk/e/the-black-girls-tech-summit-2025-the-shift-power-progress-possibility-tickets-1409246958589?aff=ebdssbdestsearch,Almost full,Berlin · Zalando BHW
BreakfastInMotion: Deep Tech Global Recap – Insights from Japan,https://www.eventbrite.com/e/breakfastinmotion-deep-tech-global-recap-insights-from-japan-tickets-1812877468309?aff=ebdssbdestsearch,Tomorrow at 10:00 AM,Berlin · MotionLab.Berlin
This is Techno Jazz w/ TUN - Torino Unlimited Noise (Live) & Irakli,https://www.eventbrite.it/e/this-is-techno-jazz-w-tun-torino-unlimited-noise-live-irakli-tickets-1759376976899?aff=ebdssbdestsearch,"Sun, Nov 30, 7:00 PM",Berlin · Kantine am Berghain
