id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,is_remote,company_industry,company_url_direct,district,latitude,longitude
in-5e67266314968acd,indeed,https://de.indeed.com/viewjob?jk=5e67266314968acd,https://grnh.se/3ica153t1us,Data & Business Systems Analyst,wolt,"Berlin, BE, DE",2025-10-21,,False,Transport And Freight,https://www.wolt.com,Mitte,52.52,13.405
in-f4e1f7714c40cfd4,indeed,https://de.indeed.com/viewjob?jk=f4e1f7714c40cfd4,https://jobs.eu.lever.co/lovehoneygroup/a19533c9-3054-4c98-a3c3-510ec288522c?lever-source=Indeed,Working Student Data Analyst,Lovehoney Group,"Berlin, BE, DE",2025-10-21,,True,,https://www.lovehoneygroup.com/careers/,Mitte,52.52,13.405
in-f2a036d0cab8518e,indeed,https://de.indeed.com/viewjob?jk=f2a036d0cab8518e,https://about.fritz.com/karriere/jobs/crm-system-specialist-data-analyst-wmd,CRM System Specialist & Data Analyst (w/m/d),FRITZ!,"Berlin, BE, DE",2025-10-21,fulltime,True,,https://jobs.fritz.com/?mtm_campaign=Karriereseite&mtm_kwd=Indeed,Mitte,52.52,13.405
in-fb61a57ce01e7941,indeed,https://de.indeed.com/viewjob?jk=fb61a57ce01e7941,https://jobs.smartrecruiters.com/DeliveryHero/744000089029185-senior-data-scientist-consumer-global-search-,"Senior Data Scientist (Consumer, Global Search)",Delivery Hero,"Berlin, BE, DE",2025-10-21,fulltime,False,Internet And Software,https://bit.ly/3bYJHPP,Mitte,52.52,13.405
in-399a2fa57ce9a458,indeed,https://de.indeed.com/viewjob?jk=399a2fa57ce9a458,https://jobs.siemens-energy.com/Jobs/FolderDetail?folderId=283517,Werkstudent (w/m/d) Data Analyst in der Grobplanung,Siemens Energy,"Berlin, BE, DE",2025-10-21,parttime,False,,https://www.siemens-energy.com/,Mitte,52.52,13.405
in-0e53b4d2bd9b618b,indeed,https://de.indeed.com/viewjob?jk=0e53b4d2bd9b618b,https://marketplaces.wd3.myworkdayjobs.com/en-US/External_Careers/job/Berlin/XMLNAME--Senior--Frontend-Engineer--d-f-m-_JR009936-1,(Senior) Frontend Engineer (d/f/m),Adevinta,"Berlin, BE, DE",2025-10-21,fulltime,True,,https://www.adevinta.com/,Mitte,52.52,13.405
in-1979fa1c7b038a67,indeed,https://de.indeed.com/viewjob?jk=1979fa1c7b038a67,https://jobs.eon.com/en/job/Senior-Data-%26-AI-Consultant--f-m-d-?id=236705&utm_source=Indeed&utm_medium=jobboard,Senior Data & AI Consultant (f/m/d),E.ON,"Berlin, BE, DE",2025-10-21,fulltime,False,,http://www.eon-career.com,Mitte,52.52,13.405
in-a7b555a28cd751ae,indeed,https://de.indeed.com/viewjob?jk=a7b555a28cd751ae,https://www.sumup.com/careers/positions//berlin-germany/data-analytics/analytics-lead-operations/7621291002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_1%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions,"Analytics Lead, Operations",SumUp,"Berlin, BE, DE",2025-10-20,,False,,https://www.sumup.com/careers/,Mitte,52.52,13.405
in-e2855a15ce0a99cd,indeed,https://de.indeed.com/viewjob?jk=e2855a15ce0a99cd,https://www.sumup.com/careers/positions//berlin-germany/engineering/backend-engineer-lending/8112137002/?vcc_viewport=desktop&vcc_geo_country=US&vcc_ab_experiments=_website__careers_pages%3Aon%2628006100487%3A27963130817%26default-rollout-173770-18396730089%3Aon%26first-test%3Avariation_1%26everyone%3Aon%26default-rollout-301027-18396730089%3Aon%26default-rollout-345066-18396730089%3Aon%26header_test__only_text__deploytd1_deploytd1%3Atexto_original%26_cl___website__compra_o_arrienda_cta_header%3Awithout_cta&vcc_feature_toggles=_website__navigation_revamp%257C_website__wb_replacement_page_endpoint_careers%257C_website__computed_price%257CU27HjKLUQTyTE3n5Qd8MkW%257C_website__wb_replacement_page_endpoint_manuals%257C_website__prc_coupons%257Ccl_ley_de_transferencias_tracking%257C_cl__homepage_new_ver_test%257C_cl___website__compra_o_arrienda_cta_header&slug=positions,Backend Engineer (Lending),SumUp,"Berlin, BE, DE",2025-10-20,,False,,https://www.sumup.com/careers/,Mitte,52.52,13.405
in-1013a7a176edf9df,indeed,https://de.indeed.com/viewjob?jk=1013a7a176edf9df,https://grnh.se/2g4xzwg61us,Fleet Performance Analyst,wolt,"Berlin, BE, DE",2025-10-20,,False,Transport And Freight,https://www.wolt.com,Mitte,52.52,13.405
