provider,course_name,german_level,start_info,duration,price,schedule,location,url,phone,requirements,completion,registration,appointment_url,booking_url,district,latitude,longitude
MIQR Berlin - Trachenbergring,BAMF Integration Course (A1-B1),A1 to B1,After placement test,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","4 UE/day, morning or afternoon","Trachenbergring 93-93a, 12249 Berlin",https://www.mitteldeutsches-institut.de/en/integration-course-BAMF-Berlin/,030 63412883-0,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,Mitte,52.52,13.405
MIQR Berlin - Prenzlauer Promenade,BAMF Integration Course (A1-B1),A1 to B1,After placement test,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","4 UE/day, morning or afternoon","Prenzlauer Promenade, Berlin",https://www.mitteldeutsches-institut.de/en/integration-course-BAMF-Berlin/,030 2592448-0,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,Mitte,52.52,13.405
IIK Berlin,BAMF Integration Course (A1-B1),A1 to B1,After placement test,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","4 UE/day, morning or afternoon",Berlin (multiple locations),https://www.iik-berlin.de/en/german/,See website,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,Mitte,52.52,13.405
inlingua Berlin,BAMF Integration Course (A1-B1),A1 to B1,After placement test,8 months (700 UE: 600 language + 100 orientation),"Free for eligible / €2.29 per UE (~€1,603 total)","4 UE/day, morning or afternoon",Berlin,https://www.inlingua-berlin.de/en/,+49 30 88471190,BAMF eligibility certificate required,"DTZ exam + ""Living in Germany"" test",,,,Mitte,52.52,13.405
Sprachenatelier Berlin,Intensive - A1,A1,Check website or contact school,4 weeks,€280,"Mon-Thu, 16-20 lessons/week","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Intensive - A2,A2,Check website or contact school,4 weeks,€280,"Mon-Thu, 16-20 lessons/week","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Intensive - B1,B1,Check website or contact school,4 weeks,€280,"Mon-Thu, 16-20 lessons/week","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Intensive - B2,B2,Check website or contact school,4 weeks,€280,"Mon-Thu, 16-20 lessons/week","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Intensive - C1,C1,Check website or contact school,4 weeks,€280,"Mon-Thu, 16-20 lessons/week","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Intensive - C2,C2,Check website or contact school,4 weeks,€280,"Mon-Thu, 16-20 lessons/week","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Evening - A1,A1,Check website or contact school,Ongoing,€220/month,"2x per week, evenings","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
